"timeMillisSpent","score"
85,"-25hard/-5085soft"
117,"-23hard/-5097soft"
136,"-23hard/-5092soft"
152,"-23hard/-5091soft"
187,"-23hard/-5089soft"
369,"-23hard/-5084soft"
379,"-22hard/-5101soft"
529,"-22hard/-5098soft"
796,"-21hard/-5463soft"
837,"-21hard/-5460soft"
846,"-21hard/-5454soft"
863,"-21hard/-5452soft"
882,"-20hard/-5433soft"
895,"-20hard/-5430soft"
903,"-20hard/-5429soft"
939,"-20hard/-5424soft"
955,"-20hard/-5422soft"
964,"-20hard/-5417soft"
972,"-20hard/-5401soft"
994,"-20hard/-5399soft"
1008,"-19hard/-5408soft"
1105,"-19hard/-5407soft"
1303,"-18hard/-5405soft"
1411,"-18hard/-5403soft"
1484,"-18hard/-5402soft"
1509,"-18hard/-5400soft"
1531,"-18hard/-5399soft"
1572,"-16hard/-5393soft"
1616,"-16hard/-5385soft"
1715,"-16hard/-5382soft"
1727,"-16hard/-5380soft"
1739,"-16hard/-5377soft"
1793,"-16hard/-5372soft"
1799,"-16hard/-5371soft"
1890,"-16hard/-5364soft"
1936,"-16hard/-5362soft"
1948,"-14hard/-5684soft"
1981,"-14hard/-5683soft"
2003,"-13hard/-5698soft"
2047,"-13hard/-5697soft"
2061,"-13hard/-5696soft"
2709,"-13hard/-5683soft"
3119,"-12hard/-5700soft"
3180,"-12hard/-5699soft"
3208,"-12hard/-5695soft"
3309,"-12hard/-5693soft"
3356,"-12hard/-5686soft"
3376,"-12hard/-5685soft"
3411,"-12hard/-5683soft"
3464,"-12hard/-5682soft"
3495,"-12hard/-5680soft"
3553,"-12hard/-5679soft"
3614,"-12hard/-5678soft"
3735,"-12hard/-5673soft"
3821,"-12hard/-5667soft"
4232,"-12hard/-5662soft"
4285,"-12hard/-5660soft"
4398,"-12hard/-5659soft"
4425,"-12hard/-5654soft"
4449,"-12hard/-5653soft"
4514,"-12hard/-5652soft"
4981,"-12hard/-5650soft"
5122,"-12hard/-5634soft"
5140,"-12hard/-5633soft"
5156,"-12hard/-5625soft"
5228,"-11hard/-5638soft"
5251,"-11hard/-5632soft"
5266,"-11hard/-5629soft"
5301,"-11hard/-5626soft"
6387,"-11hard/-5623soft"
6534,"-11hard/-5622soft"
6554,"-11hard/-5321soft"
6585,"-11hard/-5314soft"
6654,"-11hard/-5313soft"
6698,"-11hard/-5312soft"
6724,"-11hard/-5310soft"
6775,"-11hard/-5308soft"
6801,"-11hard/-5303soft"
7273,"-11hard/-5302soft"
7355,"-10hard/-5848soft"
7421,"-10hard/-5847soft"
7434,"-10hard/-5843soft"
7758,"-10hard/-5838soft"
7807,"-10hard/-5835soft"
7975,"-10hard/-5532soft"
8145,"-10hard/-5525soft"
8754,"-10hard/-5522soft"
8767,"-10hard/-5518soft"
9328,"-10hard/-5517soft"
9641,"-10hard/-5516soft"
9697,"-10hard/-5510soft"
9748,"-10hard/-5505soft"
9807,"-10hard/-5504soft"
