"timeMillisSpent","score"
339,"-48hard/-10736soft"
1409,"-46hard/-11041soft"
1619,"-45hard/-11022soft"
1877,"-43hard/-11021soft"
2094,"-42hard/-11323soft"
2195,"-42hard/-11313soft"
2303,"-42hard/-10992soft"
2436,"-42hard/-10982soft"
2542,"-41hard/-11290soft"
2753,"-41hard/-11289soft"
2857,"-40hard/-11287soft"
2940,"-40hard/-11286soft"
3062,"-35hard/-11604soft"
3135,"-35hard/-11603soft"
3302,"-35hard/-11594soft"
3401,"-33hard/-11901soft"
3477,"-32hard/-11739soft"
3555,"-31hard/-11730soft"
3641,"-31hard/-11729soft"
3691,"-31hard/-11726soft"
3761,"-31hard/-11721soft"
3819,"-29hard/-11715soft"
4040,"-29hard/-11707soft"
4099,"-29hard/-11706soft"
4332,"-28hard/-12012soft"
4394,"-28hard/-12004soft"
4466,"-27hard/-12024soft"
4623,"-23hard/-12056soft"
4821,"-23hard/-12047soft"
4900,"-23hard/-11742soft"
4967,"-23hard/-11739soft"
5039,"-21hard/-11741soft"
5105,"-19hard/-11943soft"
5182,"-19hard/-11938soft"
5307,"-18hard/-11936soft"
5419,"-18hard/-11930soft"
5476,"-18hard/-11927soft"
5551,"-17hard/-11943soft"
5636,"-17hard/-11941soft"
5705,"-17hard/-11940soft"
5901,"-17hard/-11936soft"
6078,"-17hard/-11930soft"
6220,"-17hard/-11929soft"
6297,"-17hard/-11899soft"
6344,"-17hard/-11898soft"
6422,"-16hard/-11899soft"
6491,"-16hard/-11894soft"
6587,"-16hard/-11893soft"
6698,"-15hard/-11881soft"
7092,"-14hard/-11880soft"
7211,"-14hard/-11879soft"
7277,"-14hard/-11863soft"
7611,"-14hard/-11858soft"
7681,"-14hard/-11856soft"
7792,"-14hard/-11855soft"
8486,"-14hard/-11846soft"
8551,"-14hard/-11845soft"
8638,"-14hard/-11837soft"
8707,"-14hard/-11833soft"
8786,"-14hard/-11832soft"
8877,"-14hard/-11524soft"
9102,"-11hard/-11834soft"
9257,"-11hard/-11826soft"
9390,"-11hard/-11822soft"
9467,"-11hard/-11805soft"
9720,"-11hard/-11804soft"
9789,"-11hard/-11793soft"
9869,"-11hard/-11792soft"
