"timeMillisSpent","score"
86,"-20hard/-4839soft"
192,"-18hard/-5150soft"
244,"-17hard/-5143soft"
262,"-15hard/-5131soft"
304,"-13hard/-5131soft"
385,"-12hard/-5145soft"
392,"-12hard/-5142soft"
401,"-12hard/-5141soft"
412,"-11hard/-5132soft"
431,"-11hard/-5126soft"
486,"-9hard/-5445soft"
754,"-9hard/-5182soft"
768,"-9hard/-5180soft"
781,"-9hard/-5172soft"
802,"-5hard/-5169soft"
807,"-5hard/-5168soft"
1331,"-4hard/-5203soft"
1347,"-4hard/-5196soft"
1353,"-4hard/-5195soft"
1369,"-3hard/-5189soft"
1381,"-3hard/-5187soft"
1410,"-3hard/-5185soft"
1423,"-3hard/-5179soft"
1431,"-3hard/-5175soft"
1531,"-3hard/-5174soft"
1655,"-2hard/-5211soft"
1665,"-2hard/-5209soft"
1674,"-2hard/-5206soft"
1683,"-2hard/-5205soft"
1743,"-2hard/-5204soft"
1755,"-2hard/-5202soft"
1769,"-2hard/-5198soft"
1794,"-2hard/-5191soft"
1871,"-2hard/-5189soft"
1972,"-1hard/-5206soft"
2000,"-1hard/-5200soft"
2235,"-1hard/-4979soft"
2244,"-1hard/-4968soft"
2305,"-1hard/-4958soft"
2317,"-1hard/-4957soft"
2325,"-1hard/-4954soft"
2347,"-1hard/-4952soft"
2360,"-1hard/-4941soft"
2807,"-1hard/-4940soft"
2824,"-1hard/-4937soft"
2849,"-1hard/-4932soft"
2874,"-1hard/-4931soft"
2891,"-1hard/-4930soft"
2904,"-1hard/-4919soft"
2908,"-1hard/-4915soft"
2926,"-1hard/-4913soft"
2936,"-1hard/-4912soft"
2967,"-1hard/-4911soft"
3022,"-1hard/-4910soft"
3029,"-1hard/-4909soft"
3046,"-1hard/-4907soft"
3090,"-1hard/-4906soft"
3120,"-1hard/-4905soft"
3129,"-1hard/-4884soft"
3140,"-1hard/-4880soft"
3184,"-1hard/-4879soft"
3203,"-1hard/-4877soft"
3246,"0hard/-4889soft"
3258,"0hard/-4883soft"
3652,"0hard/-4878soft"
3765,"0hard/-4875soft"
3871,"0hard/-4872soft"
3878,"0hard/-4868soft"
3893,"0hard/-4861soft"
3902,"0hard/-4860soft"
3995,"0hard/-4857soft"
4140,"0hard/-4852soft"
4165,"0hard/-4851soft"
4293,"0hard/-4850soft"
4314,"0hard/-4848soft"
4331,"0hard/-4844soft"
4922,"0hard/-4843soft"
4940,"0hard/-4841soft"
4960,"0hard/-4838soft"
4998,"0hard/-4836soft"
5086,"0hard/-4830soft"
5110,"0hard/-4823soft"
5126,"0hard/-4822soft"
5143,"0hard/-4817soft"
5330,"0hard/-4814soft"
5517,"0hard/-4812soft"
5525,"0hard/-4808soft"
5540,"0hard/-4807soft"
5546,"0hard/-4806soft"
5692,"0hard/-4802soft"
5719,"0hard/-4800soft"
6464,"0hard/-4798soft"
7578,"0hard/-4797soft"
7751,"0hard/-4796soft"
7809,"0hard/-4795soft"
7957,"0hard/-4790soft"
9288,"0hard/-4789soft"
9859,"0hard/-4787soft"
9891,"0hard/-4786soft"
