"timeMillisSpent","score"
27,"-12hard/-2977soft"
41,"-12hard/-2968soft"
53,"-12hard/-2965soft"
62,"-12hard/-2964soft"
95,"-12hard/-2960soft"
115,"-11hard/-2941soft"
123,"-10hard/-2949soft"
138,"-9hard/-2963soft"
167,"-8hard/-3276soft"
179,"-8hard/-3274soft"
198,"-8hard/-3273soft"
216,"-8hard/-3270soft"
230,"-6hard/-3300soft"
235,"-6hard/-3293soft"
243,"-5hard/-3293soft"
270,"-4hard/-3290soft"
539,"-4hard/-3280soft"
582,"-4hard/-3263soft"
590,"-3hard/-3271soft"
607,"-3hard/-3269soft"
640,"-3hard/-3263soft"
675,"-3hard/-3255soft"
697,"-3hard/-3254soft"
726,"-3hard/-3253soft"
941,"-2hard/-3263soft"
1122,"-2hard/-3254soft"
1159,"-2hard/-3240soft"
1163,"-2hard/-3233soft"
1222,"-2hard/-3229soft"
1247,"-2hard/-3218soft"
1264,"-2hard/-3217soft"
1275,"-1hard/-3217soft"
3262,"0hard/-3242soft"
3308,"0hard/-3237soft"
3320,"0hard/-3234soft"
3332,"0hard/-3232soft"
3335,"0hard/-3226soft"
3452,"0hard/-3218soft"
3520,"0hard/-3208soft"
3559,"0hard/-3201soft"
3619,"0hard/-3200soft"
8127,"0hard/-3189soft"
8352,"0hard/-3187soft"
8445,"0hard/-3180soft"
8490,"0hard/-3178soft"
8518,"0hard/-3177soft"
8570,"0hard/-3176soft"
8609,"0hard/-3175soft"
9804,"0hard/-3169soft"
9870,"0hard/-3165soft"
9912,"0hard/-3164soft"
