"timeMillisSpent","score"
5,"-2hard/-781soft"
12,"-2hard/-780soft"
15,"-2hard/-777soft"
16,"-2hard/-776soft"
20,"-1hard/-782soft"
21,"-1hard/-781soft"
21,"-1hard/-775soft"
25,"-1hard/-773soft"
26,"-1hard/-770soft"
27,"-1hard/-766soft"
28,"-1hard/-764soft"
31,"0hard/-767soft"
33,"0hard/-765soft"
34,"0hard/-764soft"
35,"0hard/-763soft"
37,"0hard/-762soft"
46,"0hard/-761soft"
47,"0hard/-759soft"
108,"0hard/-752soft"
364,"0hard/-750soft"
476,"0hard/-748soft"
857,"0hard/-747soft"
4429,"0hard/-744soft"
4484,"0hard/-742soft"
5723,"0hard/-740soft"
