"timeMillisSpent","score"
24,"-9hard/-2503soft"
65,"-8hard/-2503soft"
77,"-8hard/-2500soft"
88,"-7hard/-2500soft"
101,"-7hard/-2497soft"
220,"-6hard/-2718soft"
237,"-6hard/-2717soft"
254,"-6hard/-2713soft"
308,"-4hard/-2690soft"
391,"-2hard/-3307soft"
409,"-2hard/-3306soft"
426,"-2hard/-3001soft"
444,"-2hard/-2993soft"
461,"-2hard/-2982soft"
476,"-2hard/-2979soft"
490,"-2hard/-2657soft"
503,"-2hard/-2654soft"
518,"-2hard/-2650soft"
548,"-2hard/-2648soft"
565,"-2hard/-2646soft"
579,"-2hard/-2645soft"
594,"-2hard/-2643soft"
640,"-2hard/-2642soft"
987,"-1hard/-2431soft"
999,"-1hard/-2429soft"
1013,"-1hard/-2428soft"
1038,"-1hard/-2427soft"
1227,"0hard/-2751soft"
1269,"0hard/-2746soft"
1280,"0hard/-2745soft"
1292,"0hard/-2740soft"
1302,"0hard/-2738soft"
1313,"0hard/-2736soft"
1325,"0hard/-2721soft"
1337,"0hard/-2720soft"
1573,"0hard/-2718soft"
1859,"0hard/-2710soft"
1876,"0hard/-2400soft"
1911,"0hard/-2398soft"
1926,"0hard/-2395soft"
3404,"0hard/-2393soft"
4012,"0hard/-2392soft"
4027,"0hard/-2390soft"
7412,"0hard/-2389soft"
8206,"0hard/-2386soft"
8259,"0hard/-2385soft"
9628,"0hard/-2245soft"
9660,"0hard/-2240soft"
9677,"0hard/-2237soft"
9729,"0hard/-2233soft"
9759,"0hard/-2229soft"
9775,"0hard/-2225soft"
