"timeMillisSpent","score"
86,"-29hard/-5173soft"
129,"-29hard/-5171soft"
141,"-28hard/-5169soft"
185,"-27hard/-5171soft"
218,"-27hard/-5150soft"
229,"-26hard/-5615soft"
237,"-24hard/-5623soft"
607,"-23hard/-6099soft"
1685,"-23hard/-5891soft"
1685,"-22hard/-5880soft"
1806,"-21hard/-6554soft"
2083,"-20hard/-6259soft"
3925,"-18hard/-6584soft"
3928,"-18hard/-6577soft"
3929,"-18hard/-6571soft"
4167,"-16hard/-6597soft"
4172,"-16hard/-6596soft"
7154,"-14hard/-7102soft"
7155,"-14hard/-7096soft"
8371,"-10hard/-7114soft"
