"timeMillisSpent","score"
1511,"-97hard/-20228soft"
1670,"-96hard/-20540soft"
1847,"-95hard/-20544soft"
2066,"-94hard/-20540soft"
2295,"-93hard/-20852soft"
2318,"-91hard/-21182soft"
2436,"-90hard/-21230soft"
2458,"-89hard/-21230soft"
2922,"-87hard/-22345soft"
2934,"-86hard/-22778soft"
3410,"-86hard/-22681soft"
4922,"-84hard/-23086soft"
4979,"-83hard/-23102soft"
4998,"-82hard/-23110soft"
5010,"-79hard/-23126soft"
5025,"-78hard/-23118soft"
5372,"-76hard/-23665soft"
6902,"-76hard/-23372soft"
6943,"-76hard/-23368soft"
7058,"-75hard/-23673soft"
7509,"-73hard/-24008soft"
9668,"-73hard/-23754soft"
9982,"-73hard/-23750soft"
10000,"-73hard/-23748soft"
