"timeMillisSpent","score"
103,"-25hard/-5085soft"
183,"-25hard/-5081soft"
278,"-24hard/-5076soft"
400,"-23hard/-5402soft"
648,"-20hard/-5466soft"
731,"-19hard/-5470soft"
871,"-17hard/-5479soft"
890,"-17hard/-5470soft"
932,"-16hard/-5796soft"
977,"-15hard/-5811soft"
1014,"-15hard/-5803soft"
1072,"-15hard/-5800soft"
1098,"-15hard/-5799soft"
1136,"-15hard/-5785soft"
1156,"-15hard/-5780soft"
1175,"-15hard/-5473soft"
1194,"-15hard/-5466soft"
1215,"-15hard/-5464soft"
1234,"-15hard/-5456soft"
1292,"-15hard/-5454soft"
1311,"-15hard/-5441soft"
1330,"-15hard/-5438soft"
1393,"-15hard/-5437soft"
1413,"-15hard/-5435soft"
1433,"-15hard/-5426soft"
2062,"-14hard/-5872soft"
2083,"-14hard/-5854soft"
2144,"-14hard/-5852soft"
6285,"-10hard/-5958soft"
6305,"-10hard/-5956soft"
7644,"-9hard/-5967soft"
7664,"-9hard/-5964soft"
8374,"-9hard/-5950soft"
8625,"-9hard/-5944soft"
8646,"-9hard/-5936soft"
