"timeMillisSpent","score"
133,"-19hard/-15948soft"
358,"-18hard/-16094soft"
384,"-18hard/-16045soft"
438,"-16hard/-16699soft"
463,"-16hard/-16692soft"
504,"-15hard/-16711soft"
526,"-15hard/-16693soft"
548,"-15hard/-16587soft"
611,"-15hard/-16538soft"
635,"-15hard/-16533soft"
661,"-15hard/-16454soft"
686,"-15hard/-16450soft"
708,"-15hard/-16425soft"
732,"-15hard/-16386soft"
753,"-15hard/-15956soft"
777,"-15hard/-15945soft"
1319,"-9hard/-16659soft"
1341,"-9hard/-16658soft"
1363,"-9hard/-16588soft"
1384,"-9hard/-16577soft"
1621,"-9hard/-16574soft"
1642,"-9hard/-16565soft"
1664,"-9hard/-16546soft"
1684,"-9hard/-16524soft"
1783,"-9hard/-16511soft"
1806,"-8hard/-16438soft"
1825,"-8hard/-16424soft"
1890,"-8hard/-16420soft"
1935,"-8hard/-16405soft"
3837,"-7hard/-16549soft"
3858,"-6hard/-17047soft"
3921,"-6hard/-17000soft"
4017,"-6hard/-16981soft"
4058,"-6hard/-16938soft"
4079,"-6hard/-16936soft"
4102,"-6hard/-16869soft"
4124,"-6hard/-16821soft"
4169,"-6hard/-16803soft"
4218,"-6hard/-16758soft"
4239,"-6hard/-16646soft"
4263,"-6hard/-16632soft"
4284,"-5hard/-16754soft"
4304,"-5hard/-16669soft"
4397,"-4hard/-16698soft"
4418,"-4hard/-16678soft"
4464,"-4hard/-16613soft"
4483,"-4hard/-16551soft"
4503,"-4hard/-16499soft"
4522,"-4hard/-16481soft"
4545,"-4hard/-16450soft"
4566,"-4hard/-16442soft"
4654,"-3hard/-16632soft"
4681,"-3hard/-16576soft"
4703,"-3hard/-16568soft"
4761,"-3hard/-16559soft"
4786,"-3hard/-16488soft"
4807,"-3hard/-16480soft"
4830,"-3hard/-16459soft"
4853,"-3hard/-16443soft"
4880,"-3hard/-16353soft"
4960,"-3hard/-16332soft"
4979,"-3hard/-16311soft"
5001,"-3hard/-16245soft"
5051,"-3hard/-16091soft"
5073,"-3hard/-16059soft"
5117,"-3hard/-16046soft"
5138,"-3hard/-15966soft"
5357,"-2hard/-16389soft"
5420,"-2hard/-16375soft"
5446,"-2hard/-16351soft"
5666,"-2hard/-16325soft"
5687,"-2hard/-16307soft"
5710,"-2hard/-16299soft"
5753,"-2hard/-16287soft"
5832,"-2hard/-16149soft"
5851,"-2hard/-16100soft"
5873,"-2hard/-16080soft"
5896,"-2hard/-16073soft"
5917,"-2hard/-16044soft"
5939,"-2hard/-15965soft"
6004,"-2hard/-15954soft"
6049,"-2hard/-15953soft"
6072,"-2hard/-15935soft"
6096,"-2hard/-15921soft"
6167,"0hard/-16301soft"
6238,"0hard/-16274soft"
6256,"0hard/-16254soft"
6357,"0hard/-16246soft"
6383,"0hard/-16223soft"
6403,"0hard/-16209soft"
6424,"0hard/-16192soft"
6799,"0hard/-16189soft"
6843,"0hard/-16101soft"
6932,"0hard/-16096soft"
6957,"0hard/-16079soft"
6979,"0hard/-16078soft"
7002,"0hard/-15813soft"
7393,"0hard/-15799soft"
7417,"0hard/-15798soft"
7441,"0hard/-15788soft"
7488,"0hard/-15781soft"
8863,"0hard/-15779soft"
