"timeMillisSpent","score"
23,"-9hard/-2503soft"
39,"-6hard/-2494soft"
49,"-5hard/-2823soft"
58,"-5hard/-2821soft"
65,"-5hard/-2818soft"
70,"-5hard/-2814soft"
107,"-5hard/-2809soft"
112,"-5hard/-2808soft"
208,"-3hard/-2839soft"
218,"-3hard/-2821soft"
228,"-3hard/-2818soft"
249,"-2hard/-2819soft"
252,"-2hard/-2796soft"
263,"-2hard/-2795soft"
272,"-1hard/-2791soft"
279,"-1hard/-2787soft"
281,"-1hard/-2786soft"
285,"-1hard/-2777soft"
291,"-1hard/-2769soft"
299,"-1hard/-2768soft"
354,"0hard/-2771soft"
386,"0hard/-2762soft"
402,"0hard/-2756soft"
404,"0hard/-2755soft"
406,"0hard/-2753soft"
435,"0hard/-2427soft"
438,"0hard/-2426soft"
497,"0hard/-2418soft"
501,"0hard/-2416soft"
5769,"0hard/-2265soft"
5778,"0hard/-2263soft"
5801,"0hard/-2253soft"
5824,"0hard/-2247soft"
5834,"0hard/-2244soft"
5867,"0hard/-2241soft"
5878,"0hard/-2237soft"
5918,"0hard/-2230soft"
5927,"0hard/-2227soft"
6190,"0hard/-2223soft"
6522,"0hard/-2221soft"
7633,"0hard/-2219soft"
7639,"0hard/-2217soft"
7739,"0hard/-2215soft"
8280,"0hard/-2214soft"
9652,"0hard/-2213soft"
