"timeMillisSpent","score"
339,"-48hard/-10736soft"
452,"-48hard/-10733soft"
542,"-46hard/-11038soft"
553,"-46hard/-11034soft"
581,"-45hard/-11042soft"
1202,"-44hard/-11674soft"
1364,"-42hard/-11668soft"
2263,"-41hard/-11676soft"
2269,"-40hard/-11672soft"
2605,"-40hard/-11499soft"
2624,"-38hard/-11503soft"
2671,"-37hard/-11549soft"
2680,"-36hard/-11546soft"
2689,"-35hard/-11565soft"
2696,"-35hard/-11553soft"
2701,"-35hard/-11550soft"
2712,"-33hard/-11551soft"
3209,"-32hard/-12198soft"
3278,"-32hard/-12193soft"
3293,"-29hard/-12495soft"
3308,"-25hard/-12493soft"
3411,"-24hard/-12508soft"
3419,"-23hard/-12505soft"
3427,"-22hard/-12498soft"
3442,"-21hard/-12816soft"
3450,"-21hard/-12809soft"
5750,"-21hard/-12774soft"
5756,"-21hard/-12773soft"
5763,"-21hard/-12763soft"
5771,"-21hard/-12762soft"
9528,"-21hard/-12235soft"
9536,"-21hard/-12230soft"
9626,"-21hard/-12226soft"
9939,"-20hard/-12755soft"
9947,"-20hard/-12732soft"
9958,"-20hard/-12730soft"
