"timeMillisSpent","score"
130,"-38hard/-15902soft"
176,"-35hard/-16246soft"
227,"-33hard/-16259soft"
278,"-31hard/-16875soft"
324,"-29hard/-17104soft"
370,"-27hard/-17569soft"
413,"-25hard/-17833soft"
461,"-24hard/-17860soft"
498,"-23hard/-17839soft"
539,"-22hard/-17911soft"
577,"-21hard/-17998soft"
613,"-19hard/-17941soft"
656,"-19hard/-17859soft"
698,"-18hard/-17704soft"
735,"-18hard/-17294soft"
775,"-17hard/-17212soft"
810,"-16hard/-17590soft"
852,"-16hard/-17560soft"
893,"-15hard/-17566soft"
939,"-15hard/-17403soft"
975,"-14hard/-17469soft"
1010,"-14hard/-17423soft"
1048,"-14hard/-17377soft"
1086,"-14hard/-17347soft"
1124,"-14hard/-17251soft"
1168,"-14hard/-17212soft"
1241,"-13hard/-17441soft"
1348,"-13hard/-17438soft"
1386,"-13hard/-17362soft"
1427,"-13hard/-17276soft"
1462,"-13hard/-17039soft"
1500,"-13hard/-17016soft"
1535,"-13hard/-16988soft"
1571,"-13hard/-16966soft"
1656,"-13hard/-16957soft"
1694,"-13hard/-16878soft"
1731,"-12hard/-16959soft"
1768,"-12hard/-16946soft"
1805,"-12hard/-16835soft"
1847,"-12hard/-16833soft"
1885,"-12hard/-16826soft"
1923,"-12hard/-16803soft"
1997,"-11hard/-17099soft"
2039,"-11hard/-16947soft"
2083,"-11hard/-16829soft"
2124,"-11hard/-16810soft"
2367,"-11hard/-16509soft"
2445,"-11hard/-16490soft"
2482,"-11hard/-16474soft"
2603,"-11hard/-16456soft"
2679,"-11hard/-16454soft"
2719,"-11hard/-16435soft"
2843,"-11hard/-16420soft"
2883,"-11hard/-16404soft"
2956,"-11hard/-16367soft"
2998,"-10hard/-16325soft"
3414,"-10hard/-16321soft"
3454,"-10hard/-16302soft"
3496,"-10hard/-16300soft"
3570,"-10hard/-16254soft"
3779,"-9hard/-16370soft"
3816,"-9hard/-16368soft"
3852,"-9hard/-16327soft"
3889,"-9hard/-16305soft"
3931,"-9hard/-16215soft"
6491,"-8hard/-16481soft"
6532,"-8hard/-16419soft"
6571,"-8hard/-16406soft"
6607,"-8hard/-16362soft"
6756,"-8hard/-16205soft"
6795,"-8hard/-16152soft"
6832,"-8hard/-16141soft"
6906,"-8hard/-16124soft"
7743,"-7hard/-16383soft"
8000,"-7hard/-16348soft"
8037,"-7hard/-16327soft"
8073,"-7hard/-16262soft"
8115,"-7hard/-16230soft"
9299,"-7hard/-16081soft"
9379,"-7hard/-16037soft"
