"timeMillisSpent","score"
23,"-9hard/-2503soft"
274,"-7hard/-2496soft"
296,"-6hard/-2512soft"
341,"-6hard/-2506soft"
353,"-4hard/-2807soft"
426,"-4hard/-2803soft"
433,"-4hard/-2800soft"
465,"-4hard/-2797soft"
484,"-4hard/-2793soft"
496,"-4hard/-2792soft"
557,"-4hard/-2791soft"
611,"-1hard/-2794soft"
622,"-1hard/-2793soft"
642,"0hard/-2798soft"
655,"0hard/-2783soft"
736,"0hard/-2777soft"
747,"0hard/-2776soft"
792,"0hard/-2772soft"
804,"0hard/-2770soft"
866,"0hard/-2766soft"
979,"0hard/-2757soft"
992,"0hard/-2745soft"
1052,"0hard/-2741soft"
1061,"0hard/-2736soft"
1072,"0hard/-2735soft"
1085,"0hard/-2732soft"
1095,"0hard/-2731soft"
1145,"0hard/-2725soft"
2049,"0hard/-2724soft"
2063,"0hard/-2719soft"
2075,"0hard/-2717soft"
2162,"0hard/-2713soft"
2176,"0hard/-2706soft"
2356,"0hard/-2409soft"
2376,"0hard/-2408soft"
2385,"0hard/-2404soft"
2400,"0hard/-2403soft"
2409,"0hard/-2401soft"
2476,"0hard/-2400soft"
2829,"0hard/-2396soft"
2865,"0hard/-2395soft"
2935,"0hard/-2394soft"
2970,"0hard/-2392soft"
3075,"0hard/-2235soft"
3107,"0hard/-2230soft"
3136,"0hard/-2229soft"
3168,"0hard/-2227soft"
3280,"0hard/-2226soft"
3311,"0hard/-2225soft"
3357,"0hard/-2223soft"
3826,"0hard/-2222soft"
3853,"0hard/-2220soft"
3999,"0hard/-2218soft"
4807,"0hard/-2217soft"
