"timeMillisSpent","score"
93,"-20hard/-4839soft"
200,"-18hard/-5150soft"
245,"-17hard/-5143soft"
261,"-15hard/-5131soft"
300,"-13hard/-5131soft"
375,"-12hard/-5145soft"
383,"-12hard/-5142soft"
391,"-12hard/-5141soft"
401,"-11hard/-5132soft"
418,"-11hard/-5126soft"
473,"-9hard/-5445soft"
730,"-9hard/-5182soft"
742,"-9hard/-5180soft"
753,"-9hard/-5172soft"
773,"-5hard/-5169soft"
779,"-5hard/-5168soft"
1278,"-4hard/-5203soft"
1291,"-4hard/-5196soft"
1296,"-4hard/-5195soft"
1310,"-3hard/-5189soft"
1321,"-3hard/-5187soft"
1348,"-3hard/-5185soft"
1359,"-3hard/-5179soft"
1366,"-3hard/-5175soft"
1463,"-3hard/-5174soft"
1585,"-2hard/-5211soft"
1595,"-2hard/-5209soft"
1604,"-2hard/-5206soft"
1613,"-2hard/-5205soft"
1671,"-2hard/-5204soft"
1683,"-2hard/-5202soft"
1696,"-2hard/-5198soft"
1720,"-2hard/-5191soft"
1797,"-2hard/-5189soft"
1876,"-1hard/-5206soft"
1900,"-1hard/-5200soft"
2124,"-1hard/-4979soft"
2135,"-1hard/-4968soft"
2193,"-1hard/-4958soft"
2204,"-1hard/-4957soft"
2212,"-1hard/-4954soft"
2232,"-1hard/-4952soft"
2244,"-1hard/-4941soft"
2673,"-1hard/-4940soft"
2690,"-1hard/-4937soft"
2714,"-1hard/-4932soft"
2739,"-1hard/-4931soft"
2754,"-1hard/-4930soft"
2771,"-1hard/-4919soft"
2776,"-1hard/-4915soft"
2793,"-1hard/-4913soft"
2805,"-1hard/-4912soft"
2834,"-1hard/-4911soft"
2886,"-1hard/-4910soft"
2893,"-1hard/-4909soft"
2910,"-1hard/-4907soft"
2954,"-1hard/-4906soft"
2983,"-1hard/-4905soft"
2991,"-1hard/-4884soft"
3003,"-1hard/-4880soft"
3045,"-1hard/-4879soft"
3066,"-1hard/-4877soft"
3105,"0hard/-4889soft"
3118,"0hard/-4883soft"
3472,"0hard/-4878soft"
3583,"0hard/-4875soft"
3691,"0hard/-4872soft"
3700,"0hard/-4868soft"
3713,"0hard/-4861soft"
3722,"0hard/-4860soft"
3812,"0hard/-4857soft"
3958,"0hard/-4852soft"
3981,"0hard/-4851soft"
4107,"0hard/-4850soft"
4128,"0hard/-4848soft"
4141,"0hard/-4844soft"
4723,"0hard/-4843soft"
4742,"0hard/-4841soft"
4761,"0hard/-4838soft"
4798,"0hard/-4836soft"
4890,"0hard/-4830soft"
4914,"0hard/-4823soft"
4930,"0hard/-4822soft"
4946,"0hard/-4817soft"
5124,"0hard/-4814soft"
5302,"0hard/-4812soft"
5310,"0hard/-4808soft"
5324,"0hard/-4807soft"
5330,"0hard/-4806soft"
5467,"0hard/-4802soft"
5492,"0hard/-4800soft"
6195,"0hard/-4798soft"
7267,"0hard/-4797soft"
7437,"0hard/-4796soft"
7492,"0hard/-4795soft"
7634,"0hard/-4790soft"
8942,"0hard/-4789soft"
9518,"0hard/-4787soft"
9550,"0hard/-4786soft"
