"timeMillisSpent","score"
88,"-25hard/-5085soft"
126,"-23hard/-5097soft"
143,"-23hard/-5092soft"
183,"-23hard/-5089soft"
284,"-22hard/-5083soft"
462,"-21hard/-5063soft"
587,"-21hard/-5061soft"
644,"-21hard/-5060soft"
677,"-19hard/-5052soft"
770,"-19hard/-5047soft"
839,"-18hard/-5059soft"
900,"-18hard/-5052soft"
931,"-18hard/-5040soft"
1034,"-12hard/-5542soft"
1496,"-12hard/-5535soft"
1544,"-12hard/-5529soft"
1683,"-12hard/-5528soft"
1777,"-12hard/-5527soft"
1913,"-11hard/-5521soft"
1939,"-11hard/-5520soft"
2040,"-10hard/-5517soft"
2095,"-10hard/-5516soft"
2120,"-10hard/-5513soft"
2150,"-9hard/-5506soft"
2299,"-9hard/-5505soft"
2306,"-9hard/-5503soft"
2361,"-8hard/-5505soft"
