"timeMillisSpent","score"
336,"-48hard/-10736soft"
389,"-48hard/-10733soft"
431,"-48hard/-10729soft"
456,"-48hard/-10726soft"
470,"-46hard/-11054soft"
485,"-45hard/-11040soft"
540,"-44hard/-11343soft"
732,"-43hard/-11357soft"
1158,"-42hard/-11902soft"
1210,"-41hard/-11916soft"
1232,"-40hard/-11947soft"
5666,"-39hard/-12497soft"
5667,"-39hard/-12490soft"
5678,"-38hard/-12473soft"
5694,"-38hard/-12464soft"
5702,"-38hard/-12461soft"
6255,"-38hard/-12232soft"
8341,"-38hard/-11936soft"
8343,"-37hard/-11925soft"
8542,"-37hard/-11600soft"
8543,"-36hard/-11597soft"
8548,"-36hard/-11595soft"
8557,"-34hard/-11587soft"
