"timeMillisSpent","score"
1317,"-97hard/-20228soft"
1333,"-97hard/-20223soft"
1393,"-96hard/-20219soft"
1408,"-95hard/-20521soft"
1426,"-94hard/-20517soft"
2133,"-89hard/-21571soft"
2227,"-87hard/-21901soft"
2736,"-85hard/-22445soft"
2747,"-83hard/-22436soft"
2773,"-80hard/-22434soft"
4862,"-79hard/-22683soft"
4935,"-77hard/-22669soft"
4987,"-77hard/-22668soft"
4995,"-77hard/-22657soft"
5531,"-76hard/-22660soft"
5861,"-75hard/-22671soft"
5911,"-75hard/-22669soft"
5954,"-74hard/-22665soft"
5963,"-73hard/-22651soft"
5970,"-73hard/-22641soft"
6056,"-72hard/-22652soft"
6085,"-72hard/-22645soft"
6107,"-71hard/-22644soft"
6235,"-70hard/-22662soft"
6251,"-70hard/-22652soft"
6287,"-70hard/-22649soft"
6305,"-69hard/-22641soft"
6468,"-68hard/-22648soft"
6487,"-68hard/-22639soft"
6525,"-67hard/-22634soft"
6548,"-67hard/-22633soft"
6569,"-67hard/-22632soft"
6617,"-67hard/-22629soft"
6829,"-67hard/-22625soft"
6854,"-66hard/-22616soft"
7120,"-66hard/-22613soft"
7159,"-64hard/-22927soft"
7186,"-64hard/-22920soft"
7285,"-64hard/-22891soft"
7304,"-64hard/-22880soft"
7340,"-64hard/-22877soft"
7408,"-64hard/-22873soft"
7458,"-64hard/-22865soft"
7480,"-64hard/-22863soft"
7497,"-64hard/-22861soft"
7678,"-63hard/-22860soft"
7792,"-63hard/-22853soft"
7970,"-62hard/-22888soft"
8035,"-60hard/-23213soft"
8179,"-60hard/-23210soft"
8215,"-60hard/-23206soft"
8279,"-59hard/-23219soft"
8441,"-57hard/-23229soft"
8554,"-56hard/-23223soft"
8600,"-56hard/-23222soft"
8686,"-56hard/-23220soft"
8720,"-55hard/-23528soft"
8766,"-54hard/-23840soft"
8862,"-51hard/-23851soft"
8943,"-51hard/-23541soft"
9269,"-51hard/-23537soft"
9325,"-51hard/-23514soft"
9381,"-51hard/-23503soft"
9505,"-51hard/-23195soft"
9570,"-51hard/-23173soft"
9674,"-51hard/-23160soft"
9800,"-51hard/-23155soft"
9885,"-51hard/-23137soft"
9996,"-51hard/-23127soft"
