"timeMillisSpent","score"
88,"-20hard/-4839soft"
583,"-18hard/-4833soft"
677,"-17hard/-4831soft"
761,"-16hard/-4834soft"
859,"-16hard/-4832soft"
927,"-15hard/-5252soft"
987,"-13hard/-5563soft"
1050,"-9hard/-5870soft"
1090,"-6hard/-5880soft"
1123,"-6hard/-5879soft"
1160,"-6hard/-5876soft"
1187,"-6hard/-5561soft"
1216,"-6hard/-5560soft"
1283,"-6hard/-5559soft"
1371,"-6hard/-5555soft"
1426,"-5hard/-5569soft"
1504,"-3hard/-5577soft"
1532,"-3hard/-5489soft"
1608,"-3hard/-5480soft"
1733,"-3hard/-5477soft"
1765,"-3hard/-5471soft"
1807,"-3hard/-5457soft"
1914,"-3hard/-5445soft"
1947,"-1hard/-5444soft"
1999,"-1hard/-5442soft"
2031,"-1hard/-5440soft"
2133,"-1hard/-5439soft"
2174,"0hard/-5435soft"
2220,"0hard/-5432soft"
2297,"0hard/-5431soft"
2403,"0hard/-5429soft"
2694,"0hard/-5419soft"
2728,"0hard/-5402soft"
2805,"0hard/-5400soft"
2841,"0hard/-5089soft"
3066,"0hard/-5087soft"
3129,"0hard/-5086soft"
3156,"0hard/-5085soft"
3340,"0hard/-5083soft"
3650,"0hard/-5082soft"
3692,"0hard/-5079soft"
4423,"0hard/-5078soft"
4645,"0hard/-5077soft"
4827,"0hard/-5076soft"
4907,"0hard/-5071soft"
4968,"0hard/-5070soft"
5224,"0hard/-5068soft"
5475,"0hard/-5067soft"
5997,"0hard/-5066soft"
6459,"0hard/-4760soft"
6544,"0hard/-4752soft"
6628,"0hard/-4751soft"
6722,"0hard/-4750soft"
6911,"0hard/-4749soft"
7215,"0hard/-4747soft"
7490,"0hard/-4743soft"
8293,"0hard/-4742soft"
