"timeMillisSpent","score"
409,"-48hard/-10736soft"
469,"-48hard/-10733soft"
509,"-48hard/-10729soft"
533,"-48hard/-10726soft"
546,"-46hard/-11054soft"
560,"-45hard/-11040soft"
615,"-44hard/-11343soft"
799,"-43hard/-11357soft"
1223,"-42hard/-11902soft"
1276,"-41hard/-11916soft"
1298,"-40hard/-11947soft"
3591,"-38hard/-12294soft"
5348,"-38hard/-11762soft"
5366,"-37hard/-11752soft"
7143,"-36hard/-13014soft"
7402,"-33hard/-12789soft"
7403,"-33hard/-12784soft"
7431,"-32hard/-13118soft"
8043,"-31hard/-13123soft"
8053,"-30hard/-13124soft"
8772,"-29hard/-13266soft"
