"timeMillisSpent","score"
25,"-9hard/-2503soft"
62,"-6hard/-2502soft"
82,"-6hard/-2501soft"
143,"-4hard/-2496soft"
186,"-3hard/-2488soft"
234,"-3hard/-2473soft"
259,"-3hard/-2457soft"
291,"-3hard/-2456soft"
321,"-2hard/-2475soft"
345,"-2hard/-2460soft"
369,"-2hard/-2458soft"
390,"-2hard/-2456soft"
408,"-2hard/-2453soft"
445,"-2hard/-2452soft"
778,"-1hard/-2769soft"
842,"-1hard/-2767soft"
861,"-1hard/-2766soft"
936,"-1hard/-2759soft"
1217,"0hard/-2758soft"
1247,"0hard/-2755soft"
1279,"0hard/-2744soft"
1307,"0hard/-2717soft"
1354,"0hard/-2715soft"
1373,"0hard/-2710soft"
1392,"0hard/-2405soft"
1413,"0hard/-2397soft"
1795,"0hard/-2384soft"
1819,"0hard/-2382soft"
1842,"0hard/-2380soft"
1909,"0hard/-2378soft"
2215,"0hard/-2377soft"
2237,"0hard/-2372soft"
2260,"0hard/-2371soft"
2640,"0hard/-2370soft"
3479,"0hard/-2369soft"
3619,"0hard/-2367soft"
6117,"0hard/-2365soft"
6136,"0hard/-2364soft"
6155,"0hard/-2362soft"
6333,"0hard/-2361soft"
6355,"0hard/-2360soft"
6510,"0hard/-2359soft"
6553,"0hard/-2358soft"
7788,"0hard/-2213soft"
7850,"0hard/-2212soft"
7891,"0hard/-2210soft"
7930,"0hard/-2208soft"
7990,"0hard/-2207soft"
