"timeMillisSpent","score"
28,"-9hard/-2503soft"
57,"-7hard/-2498soft"
95,"-6hard/-2835soft"
109,"-6hard/-2826soft"
160,"-5hard/-3410soft"
342,"-5hard/-3081soft"
348,"-5hard/-3071soft"
526,"-4hard/-3583soft"
632,"-3hard/-3731soft"
789,"-3hard/-3258soft"
791,"-3hard/-3253soft"
902,"-2hard/-3588soft"
905,"-2hard/-3585soft"
1059,"-1hard/-3360soft"
1225,"0hard/-3120soft"
1951,"0hard/-3003soft"
2570,"0hard/-2763soft"
3581,"0hard/-2757soft"
4502,"0hard/-2740soft"
4504,"0hard/-2729soft"
4803,"0hard/-2706soft"
5194,"0hard/-2703soft"
5810,"0hard/-2629soft"
5811,"0hard/-2627soft"
5812,"0hard/-2625soft"
5813,"0hard/-2616soft"
6180,"0hard/-2443soft"
6183,"0hard/-2440soft"
6199,"0hard/-2439soft"
6201,"0hard/-2438soft"
6208,"0hard/-2437soft"
6221,"0hard/-2434soft"
7891,"0hard/-2258soft"
9276,"0hard/-2241soft"
