"timeMillisSpent","score"
1401,"-97hard/-20228soft"
1492,"-97hard/-20223soft"
1574,"-96hard/-20535soft"
1658,"-96hard/-20531soft"
1748,"-95hard/-20863soft"
1836,"-94hard/-20859soft"
1924,"-94hard/-20850soft"
2015,"-92hard/-21180soft"
2100,"-90hard/-21218soft"
2184,"-89hard/-21231soft"
2278,"-88hard/-21235soft"
2366,"-87hard/-21227soft"
2467,"-84hard/-21549soft"
2558,"-84hard/-21542soft"
2649,"-80hard/-22010soft"
2742,"-79hard/-22021soft"
2920,"-79hard/-22014soft"
3010,"-78hard/-21994soft"
3099,"-74hard/-22007soft"
3286,"-74hard/-21977soft"
3373,"-73hard/-21982soft"
3466,"-72hard/-22000soft"
3649,"-72hard/-21995soft"
3744,"-70hard/-22326soft"
3922,"-69hard/-22337soft"
4182,"-69hard/-22331soft"
4268,"-69hard/-22329soft"
4363,"-68hard/-22333soft"
4547,"-64hard/-22638soft"
4637,"-63hard/-22624soft"
4721,"-63hard/-22306soft"
4808,"-63hard/-22304soft"
5055,"-62hard/-22303soft"
5149,"-60hard/-22620soft"
5236,"-58hard/-22627soft"
5331,"-58hard/-22626soft"
5415,"-57hard/-22602soft"
5502,"-54hard/-22603soft"
5592,"-53hard/-22604soft"
5856,"-52hard/-22620soft"
5943,"-52hard/-22599soft"
6037,"-52hard/-22593soft"
6133,"-52hard/-22592soft"
6217,"-51hard/-22598soft"
6307,"-50hard/-22597soft"
6395,"-50hard/-22596soft"
6488,"-50hard/-22587soft"
6575,"-49hard/-22600soft"
6656,"-49hard/-22588soft"
6737,"-46hard/-22585soft"
6821,"-45hard/-22583soft"
6905,"-45hard/-22582soft"
7163,"-44hard/-22608soft"
7251,"-43hard/-22606soft"
7337,"-43hard/-22593soft"
7422,"-41hard/-22927soft"
7505,"-40hard/-22923soft"
7673,"-39hard/-22955soft"
7755,"-38hard/-23270soft"
7841,"-36hard/-23290soft"
7924,"-35hard/-23281soft"
8093,"-34hard/-23289soft"
8264,"-34hard/-23274soft"
8518,"-34hard/-23270soft"
8610,"-33hard/-23268soft"
8697,"-33hard/-23263soft"
9389,"-32hard/-23280soft"
9472,"-32hard/-23271soft"
9639,"-32hard/-23265soft"
9724,"-31hard/-23267soft"
