"timeMillisSpent","score"
33,"-6hard/-2697soft"
154,"-5hard/-3037soft"
201,"-5hard/-3025soft"
233,"-5hard/-3018soft"
259,"-5hard/-3015soft"
302,"-5hard/-3012soft"
322,"-4hard/-3010soft"
440,"-1hard/-3035soft"
461,"-1hard/-3015soft"
504,"-1hard/-3009soft"
522,"-1hard/-2998soft"
543,"-1hard/-2993soft"
563,"-1hard/-2992soft"
601,"-1hard/-2991soft"
1212,"0hard/-2998soft"
1232,"0hard/-2995soft"
1258,"0hard/-2986soft"
1276,"0hard/-2984soft"
1316,"0hard/-2983soft"
1334,"0hard/-2981soft"
1353,"0hard/-2979soft"
1390,"0hard/-2975soft"
1432,"0hard/-2971soft"
1501,"0hard/-2970soft"
1539,"0hard/-2968soft"
2854,"0hard/-2966soft"
2965,"0hard/-2965soft"
3017,"0hard/-2964soft"
4898,"0hard/-2961soft"
4917,"0hard/-2960soft"
