"timeMillisSpent","score"
1315,"-97hard/-20228soft"
1330,"-97hard/-20223soft"
1397,"-96hard/-20219soft"
1426,"-95hard/-20215soft"
1535,"-94hard/-20990soft"
1712,"-93hard/-21298soft"
1775,"-92hard/-21607soft"
2148,"-92hard/-21330soft"
2167,"-92hard/-21123soft"
2587,"-89hard/-21457soft"
2650,"-87hard/-21461soft"
3037,"-85hard/-21839soft"
3246,"-84hard/-21873soft"
3261,"-83hard/-21865soft"
3326,"-83hard/-21851soft"
3413,"-82hard/-21847soft"
3462,"-82hard/-21824soft"
3483,"-81hard/-21830soft"
3523,"-80hard/-21823soft"
3622,"-79hard/-21845soft"
3678,"-79hard/-21838soft"
3727,"-78hard/-22161soft"
3759,"-78hard/-22160soft"
3816,"-77hard/-22156soft"
3950,"-77hard/-22139soft"
3987,"-75hard/-22146soft"
4011,"-75hard/-22137soft"
4064,"-75hard/-22135soft"
4131,"-74hard/-22126soft"
4175,"-73hard/-22439soft"
4287,"-72hard/-22433soft"
4530,"-71hard/-22419soft"
4587,"-71hard/-22409soft"
4616,"-71hard/-22408soft"
4684,"-71hard/-22406soft"
4745,"-70hard/-22411soft"
4764,"-67hard/-22395soft"
4837,"-65hard/-22712soft"
4922,"-63hard/-22720soft"
4977,"-63hard/-22710soft"
5009,"-63hard/-22708soft"
5034,"-63hard/-22701soft"
5081,"-63hard/-22698soft"
5213,"-62hard/-22709soft"
5406,"-61hard/-23048soft"
5427,"-61hard/-23020soft"
5664,"-58hard/-23575soft"
5772,"-54hard/-23913soft"
5867,"-54hard/-23909soft"
5895,"-54hard/-23899soft"
5945,"-54hard/-23888soft"
5980,"-53hard/-23864soft"
6131,"-53hard/-23563soft"
6183,"-52hard/-23569soft"
6287,"-52hard/-23568soft"
6359,"-52hard/-23253soft"
6392,"-51hard/-23260soft"
6442,"-50hard/-23259soft"
6482,"-50hard/-23258soft"
6536,"-50hard/-23243soft"
6680,"-49hard/-23241soft"
6738,"-49hard/-23233soft"
6795,"-49hard/-23232soft"
6811,"-48hard/-23226soft"
6984,"-48hard/-23224soft"
7070,"-47hard/-23247soft"
7144,"-47hard/-23245soft"
7168,"-47hard/-23237soft"
7219,"-47hard/-23233soft"
7388,"-47hard/-23227soft"
7410,"-46hard/-23229soft"
7491,"-46hard/-23225soft"
7643,"-44hard/-23239soft"
7781,"-44hard/-23238soft"
7836,"-44hard/-23237soft"
8249,"-44hard/-23213soft"
8285,"-44hard/-23211soft"
8346,"-43hard/-23213soft"
8420,"-42hard/-23226soft"
8515,"-42hard/-23217soft"
8606,"-42hard/-23215soft"
8767,"-42hard/-23209soft"
8866,"-42hard/-23200soft"
9168,"-42hard/-23187soft"
9268,"-42hard/-23186soft"
9347,"-42hard/-23177soft"
9504,"-41hard/-23515soft"
9661,"-39hard/-23843soft"
9897,"-39hard/-23838soft"
10000,"-39hard/-23832soft"
