"timeMillisSpent","score"
25,"-13hard/-2093soft"
68,"-13hard/-2088soft"
115,"-12hard/-2401soft"
158,"-11hard/-2418soft"
213,"-11hard/-2116soft"
285,"-11hard/-2112soft"
349,"-11hard/-2101soft"
408,"-10hard/-2111soft"
454,"-10hard/-2099soft"
502,"-10hard/-2095soft"
557,"-10hard/-2086soft"
687,"-10hard/-2083soft"
770,"-9hard/-2086soft"
1175,"-9hard/-2083soft"
1248,"-9hard/-2080soft"
2782,"-5hard/-2401soft"
2857,"-5hard/-2394soft"
2918,"-5hard/-2393soft"
3130,"-5hard/-2392soft"
3189,"-5hard/-2387soft"
3246,"-5hard/-2074soft"
5202,"-5hard/-2070soft"
5262,"-5hard/-2061soft"
