"timeMillisSpent","score"
95,"-20hard/-4839soft"
288,"-18hard/-5148soft"
342,"-17hard/-5141soft"
393,"-16hard/-5141soft"
472,"-16hard/-4826soft"
543,"-15hard/-4829soft"
569,"-15hard/-4828soft"
592,"-15hard/-4825soft"
628,"-15hard/-4822soft"
660,"-14hard/-5142soft"
686,"-14hard/-5141soft"
716,"-13hard/-5139soft"
859,"-10hard/-5140soft"
888,"-9hard/-5126soft"
922,"-8hard/-5134soft"
949,"-8hard/-5128soft"
970,"-8hard/-5114soft"
1022,"-8hard/-5109soft"
1046,"-7hard/-5434soft"
1080,"-7hard/-5431soft"
1135,"-7hard/-5430soft"
1154,"-7hard/-5428soft"
1248,"-7hard/-5126soft"
1403,"-7hard/-5125soft"
1441,"-5hard/-5139soft"
1458,"-4hard/-5148soft"
1474,"-4hard/-5134soft"
1574,"-4hard/-5132soft"
1615,"-4hard/-5128soft"
1635,"-4hard/-5127soft"
1656,"-4hard/-5125soft"
1683,"-4hard/-5124soft"
1708,"-4hard/-5121soft"
1853,"-4hard/-5117soft"
2141,"-4hard/-5113soft"
2162,"-4hard/-5112soft"
2184,"-4hard/-5111soft"
2286,"-4hard/-5108soft"
2349,"-4hard/-5104soft"
2405,"-2hard/-5122soft"
2434,"-2hard/-5119soft"
2453,"-2hard/-5113soft"
2465,"-2hard/-5112soft"
2488,"-2hard/-5111soft"
2511,"-2hard/-5104soft"
2555,"-2hard/-5103soft"
2595,"-2hard/-5098soft"
2674,"-1hard/-5102soft"
2742,"-1hard/-5101soft"
2783,"-1hard/-4869soft"
2887,"-1hard/-4852soft"
3176,"0hard/-4868soft"
3310,"0hard/-4866soft"
3364,"0hard/-4864soft"
3480,"0hard/-4863soft"
3567,"0hard/-4855soft"
3598,"0hard/-4847soft"
3654,"0hard/-4845soft"
3680,"0hard/-4844soft"
3699,"0hard/-4840soft"
3800,"0hard/-4838soft"
3841,"0hard/-4837soft"
3869,"0hard/-4835soft"
3923,"0hard/-4834soft"
3984,"0hard/-4832soft"
4059,"0hard/-4828soft"
4276,"0hard/-4823soft"
4431,"0hard/-4821soft"
4549,"0hard/-4818soft"
5586,"0hard/-4816soft"
6374,"0hard/-4815soft"
6391,"0hard/-4814soft"
6414,"0hard/-4812soft"
6452,"0hard/-4811soft"
6798,"0hard/-4807soft"
7366,"0hard/-4806soft"
7477,"0hard/-4505soft"
8052,"0hard/-4504soft"
8395,"0hard/-4503soft"
8445,"0hard/-4502soft"
8581,"0hard/-4499soft"
8599,"0hard/-4497soft"
8665,"0hard/-4496soft"
8692,"0hard/-4494soft"
9555,"0hard/-4493soft"
