"timeMillisSpent","score"
25,"-6hard/-7673soft"
35,"-6hard/-7660soft"
40,"-6hard/-7637soft"
50,"-6hard/-7607soft"
67,"-5hard/-7903soft"
69,"-5hard/-7729soft"
73,"-4hard/-7927soft"
73,"-4hard/-7852soft"
73,"-4hard/-7818soft"
76,"-4hard/-7714soft"
77,"-4hard/-7712soft"
83,"-4hard/-7502soft"
496,"-2hard/-7592soft"
2011,"-2hard/-7549soft"
2026,"-2hard/-7457soft"
2083,"-1hard/-7610soft"
2084,"-1hard/-7587soft"
2088,"-1hard/-7529soft"
3238,"-1hard/-7504soft"
3502,"0hard/-8020soft"
3503,"0hard/-8013soft"
4406,"0hard/-8001soft"
4413,"0hard/-7976soft"
4441,"0hard/-7952soft"
