"timeMillisSpent","score"
344,"-48hard/-10736soft"
362,"-48hard/-10734soft"
432,"-48hard/-10722soft"
684,"-46hard/-11364soft"
722,"-46hard/-11359soft"
755,"-45hard/-11681soft"
874,"-44hard/-11671soft"
888,"-42hard/-11665soft"
918,"-41hard/-11975soft"
996,"-40hard/-12129soft"
1003,"-40hard/-12124soft"
1018,"-37hard/-12122soft"
1034,"-36hard/-12133soft"
1067,"-35hard/-12130soft"
1128,"-34hard/-12121soft"
1157,"-34hard/-12120soft"
1183,"-34hard/-12117soft"
1229,"-33hard/-12114soft"
1259,"-33hard/-12111soft"
1281,"-33hard/-12108soft"
1294,"-31hard/-12125soft"
1323,"-30hard/-12134soft"
1443,"-30hard/-12132soft"
1479,"-30hard/-12111soft"
1512,"-30hard/-12102soft"
1825,"-30hard/-11807soft"
1877,"-29hard/-11810soft"
1919,"-29hard/-11798soft"
2018,"-29hard/-11796soft"
2064,"-27hard/-11822soft"
2096,"-27hard/-11810soft"
2114,"-27hard/-11807soft"
2224,"-27hard/-11803soft"
2276,"-26hard/-11827soft"
2320,"-26hard/-11826soft"
2364,"-26hard/-11825soft"
2396,"-26hard/-11824soft"
2478,"-26hard/-11807soft"
2514,"-25hard/-11813soft"
2525,"-24hard/-11812soft"
2543,"-24hard/-11807soft"
2567,"-22hard/-11798soft"
2610,"-22hard/-11795soft"
2926,"-22hard/-11790soft"
3050,"-22hard/-11787soft"
3084,"-22hard/-11777soft"
3136,"-22hard/-11774soft"
3176,"-22hard/-11767soft"
3218,"-22hard/-11758soft"
3248,"-22hard/-11742soft"
3298,"-22hard/-11738soft"
3323,"-22hard/-11732soft"
3369,"-22hard/-11731soft"
3839,"-22hard/-11719soft"
5065,"-22hard/-11718soft"
5098,"-22hard/-11715soft"
5157,"-22hard/-11711soft"
5206,"-22hard/-11710soft"
5225,"-22hard/-11706soft"
5561,"-21hard/-11723soft"
5656,"-21hard/-11722soft"
5879,"-21hard/-11416soft"
5977,"-21hard/-11402soft"
5998,"-21hard/-11400soft"
6020,"-21hard/-11395soft"
6059,"-21hard/-11394soft"
6095,"-21hard/-11393soft"
6104,"-20hard/-11422soft"
6219,"-20hard/-11421soft"
6239,"-20hard/-11418soft"
6304,"-20hard/-11416soft"
6409,"-20hard/-11415soft"
6431,"-20hard/-11413soft"
6614,"-19hard/-11408soft"
6655,"-19hard/-11407soft"
6692,"-19hard/-11405soft"
6858,"-19hard/-11393soft"
7008,"-19hard/-11389soft"
7093,"-19hard/-11388soft"
7311,"-19hard/-11386soft"
7355,"-19hard/-11373soft"
7417,"-19hard/-11369soft"
7478,"-19hard/-11365soft"
7511,"-19hard/-11362soft"
7562,"-19hard/-11360soft"
7590,"-19hard/-11359soft"
7631,"-19hard/-11353soft"
7744,"-19hard/-11351soft"
7819,"-16hard/-11614soft"
7934,"-16hard/-11608soft"
7964,"-16hard/-11606soft"
8003,"-16hard/-11604soft"
8276,"-15hard/-11619soft"
8380,"-15hard/-11420soft"
8417,"-15hard/-11419soft"
8579,"-15hard/-11415soft"
8617,"-15hard/-11412soft"
8894,"-15hard/-11411soft"
8964,"-15hard/-11410soft"
9003,"-15hard/-11407soft"
9061,"-15hard/-11405soft"
9100,"-15hard/-11404soft"
9111,"-15hard/-11400soft"
9291,"-15hard/-11399soft"
9333,"-14hard/-11408soft"
9525,"-14hard/-11395soft"
9621,"-13hard/-11413soft"
9835,"-13hard/-11412soft"
9862,"-13hard/-11411soft"
9962,"-13hard/-11399soft"
