"timeMillisSpent","score"
89,"-20hard/-4839soft"
141,"-18hard/-5150soft"
172,"-17hard/-5148soft"
198,"-16hard/-5143soft"
262,"-14hard/-5131soft"
284,"-12hard/-5131soft"
584,"-10hard/-5194soft"
650,"-9hard/-5562soft"
656,"-7hard/-5567soft"
660,"-5hard/-5559soft"
663,"-5hard/-5555soft"
668,"-4hard/-5569soft"
689,"-4hard/-5568soft"
694,"-4hard/-5567soft"
1685,"-3hard/-5381soft"
1810,"-3hard/-5376soft"
1817,"-3hard/-5375soft"
1822,"-3hard/-5362soft"
1825,"-3hard/-5361soft"
1836,"-3hard/-5356soft"
1843,"-3hard/-5349soft"
1888,"-3hard/-5343soft"
1895,"-3hard/-5330soft"
1898,"-3hard/-5321soft"
1926,"-3hard/-5312soft"
1957,"-3hard/-5310soft"
1965,"-3hard/-5309soft"
1979,"-3hard/-5305soft"
1991,"-3hard/-5303soft"
2024,"-3hard/-5299soft"
2122,"-3hard/-5293soft"
2126,"-3hard/-5292soft"
2141,"-3hard/-4995soft"
2147,"-3hard/-4983soft"
2160,"-3hard/-4972soft"
2167,"-3hard/-4971soft"
2175,"-2hard/-4975soft"
2189,"-2hard/-4974soft"
2243,"-1hard/-5002soft"
2251,"0hard/-5315soft"
2260,"0hard/-5311soft"
2265,"0hard/-5303soft"
2333,"0hard/-5296soft"
2373,"0hard/-4984soft"
2381,"0hard/-4982soft"
2388,"0hard/-4970soft"
2417,"0hard/-4966soft"
3032,"0hard/-4930soft"
3038,"0hard/-4929soft"
3043,"0hard/-4928soft"
3057,"0hard/-4926soft"
3835,"0hard/-4922soft"
3880,"0hard/-4921soft"
3909,"0hard/-4914soft"
4198,"0hard/-4910soft"
4266,"0hard/-4904soft"
5000,"0hard/-4903soft"
5010,"0hard/-4902soft"
5026,"0hard/-4895soft"
5084,"0hard/-4894soft"
5112,"0hard/-4893soft"
7721,"0hard/-4891soft"
7738,"0hard/-4890soft"
7912,"0hard/-4888soft"
9364,"0hard/-4887soft"
9417,"0hard/-4886soft"
9441,"0hard/-4884soft"
9519,"0hard/-4883soft"
