"timeMillisSpent","score"
307,"-20hard/-4839soft"
357,"-18hard/-5150soft"
388,"-17hard/-5148soft"
414,"-16hard/-5143soft"
474,"-14hard/-5131soft"
494,"-12hard/-5131soft"
802,"-10hard/-5194soft"
865,"-9hard/-5562soft"
870,"-7hard/-5567soft"
874,"-5hard/-5559soft"
877,"-5hard/-5555soft"
882,"-4hard/-5569soft"
905,"-4hard/-5568soft"
911,"-4hard/-5567soft"
1902,"-3hard/-5381soft"
2034,"-3hard/-5376soft"
2041,"-3hard/-5375soft"
2047,"-3hard/-5362soft"
2051,"-3hard/-5361soft"
2062,"-3hard/-5356soft"
2069,"-3hard/-5349soft"
2116,"-3hard/-5343soft"
2124,"-3hard/-5330soft"
2127,"-3hard/-5321soft"
2159,"-3hard/-5312soft"
2192,"-3hard/-5310soft"
2199,"-3hard/-5309soft"
2215,"-3hard/-5305soft"
2225,"-3hard/-5303soft"
2253,"-3hard/-5299soft"
2357,"-3hard/-5293soft"
2361,"-3hard/-5292soft"
2376,"-3hard/-4995soft"
2382,"-3hard/-4983soft"
2393,"-3hard/-4972soft"
2401,"-3hard/-4971soft"
2408,"-2hard/-4975soft"
2422,"-2hard/-4974soft"
2479,"-1hard/-5002soft"
2487,"0hard/-5315soft"
2496,"0hard/-5311soft"
2502,"0hard/-5303soft"
2571,"0hard/-5296soft"
2615,"0hard/-4984soft"
2623,"0hard/-4982soft"
2630,"0hard/-4970soft"
2659,"0hard/-4966soft"
3566,"0hard/-4930soft"
3571,"0hard/-4929soft"
3577,"0hard/-4928soft"
3590,"0hard/-4926soft"
4377,"0hard/-4922soft"
4422,"0hard/-4921soft"
4451,"0hard/-4914soft"
4738,"0hard/-4910soft"
4806,"0hard/-4904soft"
5544,"0hard/-4903soft"
5555,"0hard/-4902soft"
5570,"0hard/-4895soft"
5627,"0hard/-4894soft"
5654,"0hard/-4893soft"
8539,"0hard/-4891soft"
8558,"0hard/-4890soft"
8743,"0hard/-4888soft"
