"timeMillisSpent","score"
101,"-20hard/-4839soft"
148,"-18hard/-5150soft"
149,"-17hard/-5148soft"
222,"-16hard/-5153soft"
287,"-15hard/-5188soft"
896,"-14hard/-6540soft"
935,"-14hard/-6513soft"
935,"-14hard/-6512soft"
940,"-14hard/-6502soft"
943,"-13hard/-6505soft"
2370,"-13hard/-6045soft"
2763,"-13hard/-5959soft"
2766,"-12hard/-5951soft"
2767,"-12hard/-5947soft"
2769,"-12hard/-5939soft"
3388,"-11hard/-6402soft"
3891,"-11hard/-5834soft"
3898,"-11hard/-5833soft"
4629,"-9hard/-5952soft"
5900,"-9hard/-5274soft"
5906,"-9hard/-5273soft"
6235,"-7hard/-6314soft"
6283,"-5hard/-6277soft"
7197,"-5hard/-5063soft"
9768,"-2hard/-6340soft"
