"timeMillisSpent","score"
102,"-20hard/-4839soft"
158,"-18hard/-5164soft"
816,"-17hard/-5313soft"
826,"-13hard/-5318soft"
868,"-12hard/-5631soft"
879,"-12hard/-5619soft"
936,"-12hard/-5224soft"
945,"-12hard/-5223soft"
955,"-12hard/-5212soft"
965,"-12hard/-5210soft"
1038,"-11hard/-5222soft"
1049,"-7hard/-5216soft"
1060,"-7hard/-5211soft"
1103,"-5hard/-5215soft"
1113,"-5hard/-5211soft"
1124,"-5hard/-5178soft"
1144,"-5hard/-5177soft"
1154,"-5hard/-5173soft"
1274,"-5hard/-5153soft"
1285,"-5hard/-5152soft"
1295,"-5hard/-5150soft"
1356,"-5hard/-5146soft"
3199,"-4hard/-5165soft"
3561,"-1hard/-5748soft"
3601,"-1hard/-5738soft"
3611,"-1hard/-5735soft"
3670,"0hard/-5766soft"
3680,"0hard/-5765soft"
3690,"0hard/-5748soft"
