"timeMillisSpent","score"
26,"-9hard/-2503soft"
65,"-7hard/-2498soft"
112,"-6hard/-2502soft"
170,"-5hard/-2671soft"
207,"-5hard/-2666soft"
210,"-3hard/-2669soft"
226,"-2hard/-2676soft"
248,"-1hard/-2686soft"
248,"-1hard/-2682soft"
250,"-1hard/-2671soft"
737,"0hard/-2993soft"
737,"0hard/-2991soft"
739,"0hard/-2988soft"
745,"0hard/-2981soft"
746,"0hard/-2973soft"
758,"0hard/-2960soft"
826,"0hard/-2958soft"
829,"0hard/-2951soft"
1043,"0hard/-2618soft"
1044,"0hard/-2617soft"
1047,"0hard/-2615soft"
1049,"0hard/-2612soft"
1058,"0hard/-2598soft"
1060,"0hard/-2597soft"
1073,"0hard/-2593soft"
1074,"0hard/-2583soft"
1075,"0hard/-2582soft"
1170,"0hard/-2578soft"
1265,"0hard/-2575soft"
1283,"0hard/-2572soft"
1316,"0hard/-2261soft"
1610,"0hard/-2251soft"
1814,"0hard/-2250soft"
2615,"0hard/-2244soft"
2633,"0hard/-2241soft"
3234,"0hard/-2234soft"
4008,"0hard/-2232soft"
4009,"0hard/-2231soft"
4093,"0hard/-2230soft"
4690,"0hard/-2229soft"
4747,"0hard/-2225soft"
5442,"0hard/-2223soft"
6064,"0hard/-2222soft"
6167,"0hard/-2220soft"
6667,"0hard/-2218soft"
6671,"0hard/-2217soft"
7984,"0hard/-2215soft"
8252,"0hard/-2213soft"
8536,"0hard/-2211soft"
