"timeMillisSpent","score"
23,"-9hard/-2503soft"
36,"-6hard/-2494soft"
70,"-6hard/-2480soft"
164,"-5hard/-2488soft"
230,"-5hard/-2484soft"
269,"-5hard/-2481soft"
274,"-5hard/-2474soft"
281,"-5hard/-2473soft"
314,"-5hard/-2472soft"
504,"-4hard/-2765soft"
510,"-4hard/-2762soft"
531,"-4hard/-2756soft"
543,"-4hard/-2755soft"
545,"-2hard/-2756soft"
549,"-2hard/-2753soft"
553,"-2hard/-2751soft"
565,"-2hard/-2745soft"
567,"-1hard/-2748soft"
595,"0hard/-2768soft"
601,"0hard/-2764soft"
668,"0hard/-2754soft"
722,"0hard/-2752soft"
725,"0hard/-2746soft"
745,"0hard/-2743soft"
753,"0hard/-2741soft"
945,"0hard/-2738soft"
961,"0hard/-2733soft"
997,"0hard/-2730soft"
1000,"0hard/-2727soft"
1040,"0hard/-2422soft"
1054,"0hard/-2420soft"
1090,"0hard/-2418soft"
1092,"0hard/-2412soft"
1135,"0hard/-2407soft"
1142,"0hard/-2404soft"
1250,"0hard/-2402soft"
7156,"0hard/-2400soft"
7167,"0hard/-2397soft"
7172,"0hard/-2395soft"
7203,"0hard/-2394soft"
7218,"0hard/-2393soft"
8049,"0hard/-2392soft"
8059,"0hard/-2391soft"
8067,"0hard/-2389soft"
8251,"0hard/-2243soft"
8261,"0hard/-2241soft"
8270,"0hard/-2239soft"
8275,"0hard/-2234soft"
8729,"0hard/-2233soft"
9056,"0hard/-2231soft"
9348,"0hard/-2229soft"
9726,"0hard/-2228soft"
9818,"0hard/-2227soft"
9873,"0hard/-2226soft"
9891,"0hard/-2225soft"
9915,"0hard/-2219soft"
