"timeMillisSpent","score"
90,"-20hard/-6026soft"
132,"-20hard/-5705soft"
169,"-20hard/-5696soft"
190,"-19hard/-6028soft"
349,"-18hard/-6352soft"
365,"-18hard/-6347soft"
383,"-17hard/-6349soft"
404,"-17hard/-6328soft"
465,"-17hard/-6012soft"
493,"-17hard/-6003soft"
520,"-16hard/-5989soft"
533,"-16hard/-5988soft"
587,"-16hard/-5981soft"
594,"-15hard/-6102soft"
658,"-15hard/-6099soft"
784,"-15hard/-6089soft"
799,"-15hard/-6083soft"
871,"-15hard/-6082soft"
880,"-15hard/-6080soft"
1084,"-14hard/-6074soft"
1103,"-14hard/-6073soft"
1113,"-11hard/-6058soft"
1140,"-11hard/-6056soft"
1538,"-11hard/-6052soft"
2045,"-11hard/-6051soft"
2094,"-11hard/-6044soft"
2111,"-11hard/-6039soft"
2174,"-11hard/-6036soft"
2395,"-11hard/-6035soft"
2517,"-10hard/-6035soft"
3570,"-10hard/-6031soft"
3579,"-10hard/-6030soft"
3852,"-10hard/-6025soft"
3903,"-10hard/-6021soft"
3933,"-10hard/-6020soft"
4006,"-9hard/-6042soft"
4022,"-9hard/-6022soft"
4121,"-9hard/-6020soft"
4131,"-9hard/-6019soft"
4173,"-9hard/-6018soft"
4200,"-9hard/-6017soft"
4273,"-9hard/-6015soft"
4282,"-9hard/-6014soft"
4434,"-9hard/-6013soft"
4749,"-9hard/-5881soft"
4806,"-8hard/-6010soft"
4820,"-8hard/-6009soft"
4886,"-8hard/-6006soft"
5022,"-8hard/-6005soft"
5105,"-8hard/-6003soft"
5871,"-8hard/-6001soft"
5940,"-8hard/-6000soft"
6023,"-8hard/-5999soft"
6319,"-8hard/-5997soft"
6409,"-8hard/-5979soft"
6559,"-8hard/-5978soft"
6639,"-8hard/-5977soft"
6728,"-8hard/-5976soft"
6818,"-8hard/-5975soft"
6830,"-8hard/-5974soft"
8335,"-8hard/-5973soft"
8425,"-8hard/-5970soft"
8445,"-8hard/-5962soft"
8554,"-8hard/-5959soft"
8634,"-8hard/-5958soft"
9222,"-8hard/-5957soft"
9285,"-8hard/-5956soft"
