"timeMillisSpent","score"
1343,"-97hard/-20228soft"
1386,"-97hard/-20223soft"
1426,"-97hard/-20220soft"
1466,"-96hard/-20532soft"
1546,"-93hard/-20857soft"
1585,"-93hard/-20853soft"
1625,"-92hard/-21185soft"
1719,"-91hard/-21191soft"
1761,"-90hard/-21187soft"
1901,"-89hard/-21824soft"
2202,"-88hard/-21852soft"
2245,"-87hard/-21844soft"
2288,"-87hard/-21840soft"
2332,"-86hard/-22174soft"
2373,"-83hard/-22496soft"
2500,"-82hard/-23067soft"
2599,"-81hard/-23500soft"
2699,"-78hard/-23500soft"
2791,"-78hard/-23403soft"
2834,"-78hard/-23090soft"
2875,"-74hard/-23070soft"
3129,"-72hard/-23079soft"
3266,"-72hard/-22756soft"
3353,"-71hard/-22892soft"
3556,"-70hard/-22892soft"
3596,"-70hard/-22887soft"
3686,"-70hard/-22884soft"
3731,"-70hard/-22873soft"
4069,"-68hard/-23209soft"
4156,"-68hard/-22873soft"
4205,"-67hard/-22884soft"
4305,"-67hard/-22881soft"
4355,"-67hard/-22873soft"
4402,"-67hard/-22871soft"
4495,"-67hard/-22870soft"
4719,"-67hard/-22865soft"
4766,"-67hard/-22864soft"
5521,"-65hard/-22875soft"
5570,"-65hard/-22871soft"
5664,"-61hard/-22866soft"
5714,"-60hard/-22864soft"
5759,"-58hard/-22874soft"
5803,"-57hard/-23189soft"
5857,"-57hard/-23184soft"
5904,"-57hard/-22871soft"
6350,"-56hard/-22874soft"
6412,"-56hard/-22873soft"
6458,"-55hard/-23193soft"
6520,"-55hard/-23191soft"
6563,"-55hard/-23173soft"
6762,"-54hard/-23504soft"
7291,"-54hard/-23203soft"
7385,"-53hard/-23537soft"
8240,"-53hard/-23198soft"
9026,"-52hard/-23207soft"
9072,"-52hard/-23203soft"
9117,"-52hard/-23201soft"
9165,"-51hard/-23186soft"
9208,"-51hard/-23182soft"
9295,"-51hard/-23181soft"
9339,"-51hard/-23178soft"
9434,"-50hard/-23582soft"
