"timeMillisSpent","score"
95,"-20hard/-4839soft"
187,"-18hard/-5150soft"
267,"-17hard/-5143soft"
364,"-15hard/-5131soft"
445,"-14hard/-5131soft"
533,"-12hard/-5445soft"
626,"-11hard/-5443soft"
736,"-8hard/-5451soft"
832,"-8hard/-5448soft"
930,"-7hard/-5466soft"
1034,"-6hard/-5475soft"
1139,"-6hard/-5458soft"
1245,"-6hard/-5147soft"
1340,"-6hard/-5143soft"
1444,"-6hard/-5134soft"
1542,"-6hard/-5130soft"
1631,"-5hard/-5143soft"
1722,"-5hard/-5123soft"
1823,"-5hard/-5122soft"
1917,"-5hard/-5117soft"
2013,"-5hard/-5116soft"
2108,"-5hard/-5113soft"
2205,"-3hard/-5432soft"
2298,"-3hard/-5122soft"
2398,"-3hard/-5120soft"
2699,"-3hard/-5110soft"
2898,"-3hard/-5107soft"
3001,"-3hard/-5104soft"
3105,"-3hard/-5102soft"
3312,"0hard/-5103soft"
3418,"0hard/-5102soft"
4436,"0hard/-5093soft"
4528,"0hard/-5092soft"
4621,"0hard/-5091soft"
4716,"0hard/-5090soft"
4810,"0hard/-5085soft"
4915,"0hard/-5083soft"
5006,"0hard/-5082soft"
5108,"0hard/-5072soft"
5199,"0hard/-4854soft"
5301,"0hard/-4853soft"
5403,"0hard/-4851soft"
5497,"0hard/-4848soft"
6573,"0hard/-4845soft"
6664,"0hard/-4843soft"
6760,"0hard/-4838soft"
6845,"0hard/-4837soft"
7122,"0hard/-4836soft"
7211,"0hard/-4834soft"
7399,"0hard/-4825soft"
7496,"0hard/-4823soft"
7693,"0hard/-4821soft"
7787,"0hard/-4819soft"
7887,"0hard/-4812soft"
7989,"0hard/-4808soft"
8387,"0hard/-4807soft"
9056,"0hard/-4510soft"
9169,"0hard/-4508soft"
9287,"0hard/-4507soft"
9393,"0hard/-4506soft"
