"timeMillisSpent","score"
352,"-48hard/-10736soft"
393,"-48hard/-10734soft"
493,"-48hard/-10722soft"
531,"-48hard/-10709soft"
556,"-47hard/-11022soft"
681,"-45hard/-11332soft"
697,"-45hard/-11330soft"
733,"-45hard/-11324soft"
833,"-45hard/-11166soft"
911,"-42hard/-11467soft"
940,"-41hard/-11777soft"
1011,"-41hard/-11776soft"
1077,"-40hard/-11774soft"
1264,"-39hard/-11799soft"
1316,"-38hard/-12106soft"
1342,"-38hard/-12099soft"
1408,"-35hard/-12351soft"
1479,"-29hard/-12339soft"
1660,"-29hard/-12321soft"
1691,"-29hard/-12007soft"
1732,"-28hard/-12015soft"
1991,"-28hard/-12014soft"
2015,"-28hard/-11999soft"
2082,"-26hard/-11999soft"
2237,"-26hard/-11997soft"
2258,"-26hard/-11994soft"
2283,"-24hard/-12001soft"
2368,"-24hard/-12000soft"
2451,"-24hard/-11990soft"
2512,"-24hard/-11989soft"
2541,"-24hard/-11988soft"
2575,"-24hard/-11983soft"
2815,"-23hard/-12009soft"
2832,"-23hard/-12004soft"
2859,"-23hard/-12002soft"
2871,"-22hard/-12186soft"
2888,"-22hard/-12184soft"
2995,"-22hard/-12181soft"
3136,"-21hard/-12189soft"
3246,"-21hard/-12181soft"
3364,"-21hard/-12175soft"
3414,"-21hard/-12169soft"
3556,"-21hard/-11764soft"
3600,"-21hard/-11759soft"
3651,"-21hard/-11757soft"
3714,"-20hard/-11754soft"
3747,"-20hard/-11753soft"
3768,"-20hard/-11752soft"
3781,"-20hard/-11586soft"
3820,"-20hard/-11585soft"
3846,"-20hard/-11584soft"
3863,"-20hard/-11583soft"
3953,"-20hard/-11570soft"
3963,"-20hard/-11568soft"
3977,"-20hard/-11561soft"
4004,"-19hard/-11566soft"
4528,"-18hard/-11880soft"
4559,"-18hard/-11876soft"
4698,"-18hard/-11868soft"
4798,"-16hard/-11871soft"
4887,"-16hard/-11864soft"
4942,"-16hard/-11863soft"
4967,"-16hard/-11559soft"
5001,"-16hard/-11553soft"
5441,"-16hard/-11552soft"
5466,"-16hard/-11551soft"
5508,"-16hard/-11549soft"
5652,"-16hard/-11547soft"
5677,"-16hard/-11546soft"
5816,"-16hard/-11544soft"
5838,"-16hard/-11537soft"
5883,"-16hard/-11536soft"
6009,"-16hard/-11534soft"
6026,"-16hard/-11531soft"
6088,"-16hard/-11529soft"
6116,"-16hard/-11524soft"
6239,"-16hard/-11522soft"
6261,"-16hard/-11520soft"
6301,"-16hard/-11517soft"
6529,"-16hard/-11514soft"
6584,"-16hard/-11512soft"
6613,"-16hard/-11511soft"
6628,"-16hard/-11506soft"
6696,"-16hard/-11505soft"
6939,"-16hard/-11495soft"
6960,"-16hard/-11493soft"
7192,"-15hard/-11504soft"
7226,"-15hard/-11503soft"
7425,"-15hard/-11502soft"
7446,"-15hard/-11487soft"
7603,"-14hard/-11495soft"
7691,"-14hard/-11494soft"
8416,"-14hard/-11487soft"
8481,"-14hard/-11486soft"
8600,"-14hard/-11482soft"
8837,"-14hard/-11479soft"
8852,"-14hard/-11476soft"
9001,"-14hard/-11475soft"
9135,"-14hard/-11471soft"
9197,"-14hard/-11467soft"
9390,"-14hard/-11465soft"
9463,"-14hard/-11460soft"
9526,"-14hard/-11459soft"
9550,"-14hard/-11458soft"
9599,"-14hard/-11453soft"
9751,"-14hard/-11452soft"
9795,"-12hard/-11462soft"
9872,"-12hard/-11447soft"
10000,"-12hard/-11446soft"
