"timeMillisSpent","score"
26,"-6hard/-2697soft"
471,"-5hard/-3028soft"
525,"-5hard/-3021soft"
538,"-5hard/-3017soft"
586,"-4hard/-3011soft"
632,"-2hard/-3017soft"
641,"-2hard/-2999soft"
659,"-2hard/-2998soft"
672,"-2hard/-2990soft"
687,"-2hard/-2987soft"
732,"-2hard/-2983soft"
735,"-2hard/-2980soft"
834,"-1hard/-3308soft"
846,"0hard/-3306soft"
866,"0hard/-3305soft"
899,"0hard/-3304soft"
959,"0hard/-3302soft"
1038,"0hard/-3295soft"
1674,"0hard/-2999soft"
1706,"0hard/-2997soft"
1717,"0hard/-2975soft"
1747,"0hard/-2974soft"
1845,"0hard/-2973soft"
1862,"0hard/-2972soft"
2180,"0hard/-2970soft"
2197,"0hard/-2968soft"
2287,"0hard/-2965soft"
2322,"0hard/-2963soft"
2490,"0hard/-2962soft"
