"timeMillisSpent","score"
205,"-20hard/-4839soft"
266,"-18hard/-5150soft"
269,"-17hard/-5143soft"
358,"-16hard/-5462soft"
366,"-16hard/-5155soft"
388,"-16hard/-4861soft"
400,"-15hard/-4850soft"
990,"-14hard/-5891soft"
1015,"-14hard/-5882soft"
1082,"-13hard/-5781soft"
1099,"-13hard/-5459soft"
1103,"-13hard/-5458soft"
1187,"-11hard/-6104soft"
1188,"-11hard/-6102soft"
1202,"-10hard/-6096soft"
1212,"-10hard/-6089soft"
1215,"-10hard/-6088soft"
1243,"-8hard/-6110soft"
1718,"-8hard/-5985soft"
1736,"-8hard/-5977soft"
1742,"-8hard/-5976soft"
1952,"-7hard/-6328soft"
2119,"-4hard/-5990soft"
2272,"-3hard/-6027soft"
2283,"-3hard/-6018soft"
3508,"-3hard/-5591soft"
3544,"-2hard/-5913soft"
3567,"-2hard/-5898soft"
3581,"-2hard/-5885soft"
3582,"-2hard/-5879soft"
4811,"-2hard/-5315soft"
5413,"-1hard/-5406soft"
5431,"-1hard/-5402soft"
5446,"-1hard/-5399soft"
5453,"-1hard/-5388soft"
5461,"-1hard/-5379soft"
5491,"-1hard/-5374soft"
5908,"-1hard/-5349soft"
6068,"-1hard/-5337soft"
6286,"-1hard/-5319soft"
6303,"-1hard/-5316soft"
6312,"-1hard/-5315soft"
6328,"-1hard/-5314soft"
6368,"-1hard/-5310soft"
7600,"0hard/-5418soft"
8648,"0hard/-5412soft"
8665,"0hard/-5411soft"
8682,"0hard/-5406soft"
8707,"0hard/-5405soft"
8712,"0hard/-5404soft"
8716,"0hard/-5397soft"
8721,"0hard/-5396soft"
9347,"0hard/-5337soft"
9857,"0hard/-5232soft"
9924,"0hard/-5231soft"
9940,"0hard/-5227soft"
9950,"0hard/-5225soft"
9968,"0hard/-4925soft"
