"timeMillisSpent","score"
1347,"-97hard/-20228soft"
1381,"-97hard/-20223soft"
1459,"-96hard/-20222soft"
1616,"-95hard/-20986soft"
1724,"-95hard/-20984soft"
1757,"-93hard/-21314soft"
1942,"-92hard/-21623soft"
2061,"-92hard/-21315soft"
2123,"-92hard/-20998soft"
2150,"-92hard/-20994soft"
2216,"-91hard/-21002soft"
2263,"-89hard/-21331soft"
2292,"-89hard/-21124soft"
2406,"-89hard/-21123soft"
2772,"-87hard/-21776soft"
2857,"-87hard/-21770soft"
3011,"-87hard/-21761soft"
3058,"-86hard/-21758soft"
3108,"-85hard/-22217soft"
3183,"-85hard/-22215soft"
3231,"-81hard/-22221soft"
3496,"-81hard/-22217soft"
3582,"-81hard/-22213soft"
3686,"-80hard/-22545soft"
4230,"-79hard/-22545soft"
4409,"-78hard/-22541soft"
4425,"-78hard/-22533soft"
4468,"-77hard/-22528soft"
4564,"-77hard/-22514soft"
4574,"-75hard/-22514soft"
4744,"-73hard/-22521soft"
5034,"-73hard/-22514soft"
5164,"-73hard/-22502soft"
5246,"-73hard/-22182soft"
5404,"-73hard/-22176soft"
5574,"-73hard/-21851soft"
5623,"-72hard/-22170soft"
5746,"-71hard/-22188soft"
5809,"-70hard/-22184soft"
5941,"-69hard/-22486soft"
6254,"-68hard/-22812soft"
6554,"-68hard/-22496soft"
6645,"-66hard/-22806soft"
6827,"-66hard/-22481soft"
7024,"-66hard/-22477soft"
7059,"-64hard/-22799soft"
7183,"-64hard/-22793soft"
7221,"-63hard/-22795soft"
7282,"-63hard/-22480soft"
7424,"-63hard/-22257soft"
7500,"-62hard/-22672soft"
7592,"-62hard/-22665soft"
7689,"-62hard/-22659soft"
7722,"-61hard/-22643soft"
7831,"-61hard/-22640soft"
7905,"-60hard/-22952soft"
7980,"-60hard/-22942soft"
8020,"-59hard/-22961soft"
8062,"-59hard/-22959soft"
8145,"-58hard/-23280soft"
8229,"-57hard/-23506soft"
8324,"-56hard/-23506soft"
8487,"-55hard/-23526soft"
8716,"-55hard/-23515soft"
8988,"-53hard/-23532soft"
9064,"-51hard/-23530soft"
9210,"-51hard/-23528soft"
9332,"-51hard/-23524soft"
9372,"-51hard/-23513soft"
9498,"-51hard/-23181soft"
9579,"-51hard/-22876soft"
9824,"-51hard/-22867soft"
10000,"-51hard/-22863soft"
