"timeMillisSpent","score"
384,"-46hard/-10877soft"
589,"-45hard/-10879soft"
649,"-45hard/-10875soft"
1026,"-44hard/-11188soft"
1239,"-42hard/-11502soft"
1497,"-41hard/-11502soft"
1523,"-39hard/-11802soft"
1592,"-37hard/-11790soft"
1620,"-37hard/-11785soft"
1650,"-33hard/-12102soft"
1678,"-33hard/-12101soft"
1719,"-32hard/-12104soft"
1804,"-26hard/-12105soft"
1878,"-25hard/-12102soft"
1897,"-23hard/-12422soft"
1921,"-23hard/-12421soft"
2053,"-23hard/-12114soft"
2150,"-23hard/-11815soft"
2198,"-23hard/-11502soft"
3272,"-22hard/-12139soft"
3318,"-22hard/-12138soft"
3365,"-21hard/-12132soft"
3455,"-21hard/-12127soft"
3878,"-19hard/-12439soft"
3915,"-19hard/-12433soft"
3956,"-18hard/-12436soft"
4168,"-15hard/-12598soft"
4211,"-15hard/-12274soft"
4258,"-12hard/-12555soft"
4453,"-12hard/-12553soft"
4501,"-12hard/-12548soft"
4521,"-12hard/-12543soft"
4641,"-12hard/-12529soft"
4796,"-12hard/-12526soft"
4858,"-11hard/-12860soft"
4870,"-10hard/-12857soft"
4975,"-10hard/-12852soft"
5458,"-10hard/-12850soft"
5535,"-10hard/-12849soft"
5855,"-9hard/-12851soft"
5947,"-9hard/-12847soft"
6022,"-9hard/-12838soft"
6088,"-9hard/-12834soft"
6172,"-9hard/-12832soft"
6320,"-9hard/-12831soft"
6404,"-9hard/-12829soft"
6552,"-8hard/-12834soft"
6657,"-8hard/-12831soft"
6734,"-8hard/-12830soft"
7550,"-7hard/-12837soft"
7584,"-7hard/-12836soft"
7685,"-6hard/-12832soft"
7819,"-6hard/-12829soft"
8118,"-6hard/-12819soft"
8672,"-6hard/-12816soft"
8812,"-6hard/-12814soft"
8947,"-6hard/-12807soft"
8982,"-6hard/-12672soft"
9051,"-6hard/-12669soft"
9123,"-6hard/-12665soft"
9149,"-6hard/-12663soft"
9234,"-6hard/-12659soft"
9322,"-6hard/-12646soft"
9878,"-6hard/-12643soft"
