"timeMillisSpent","score"
83,"-29hard/-5173soft"
243,"-29hard/-5162soft"
329,"-28hard/-5154soft"
376,"-27hard/-5479soft"
425,"-27hard/-5461soft"
526,"-27hard/-5452soft"
575,"-25hard/-5443soft"
627,"-24hard/-5188soft"
821,"-24hard/-5170soft"
870,"-22hard/-5167soft"
914,"-20hard/-5181soft"
1094,"-19hard/-5204soft"
1140,"-19hard/-5201soft"
1185,"-17hard/-5641soft"
1239,"-17hard/-5634soft"
1291,"-17hard/-5625soft"
1398,"-16hard/-5624soft"
1457,"-16hard/-5622soft"
1552,"-16hard/-5605soft"
1599,"-16hard/-5289soft"
1648,"-16hard/-5287soft"
1936,"-16hard/-5281soft"
1983,"-16hard/-5279soft"
2079,"-16hard/-5277soft"
2123,"-16hard/-5276soft"
2168,"-16hard/-5274soft"
3851,"-14hard/-5450soft"
3899,"-14hard/-5438soft"
3946,"-14hard/-5437soft"
4142,"-14hard/-5436soft"
4338,"-10hard/-5439soft"
4389,"-10hard/-5436soft"
4435,"-10hard/-5430soft"
4482,"-10hard/-5428soft"
4530,"-9hard/-5423soft"
4575,"-9hard/-5422soft"
5386,"-7hard/-5443soft"
5430,"-6hard/-5439soft"
5475,"-6hard/-5437soft"
5524,"-5hard/-5433soft"
5609,"-5hard/-5432soft"
5652,"-5hard/-5430soft"
5697,"-5hard/-5427soft"
5740,"-5hard/-5426soft"
5923,"-4hard/-5935soft"
5970,"-4hard/-5933soft"
6018,"-4hard/-5931soft"
6161,"-4hard/-5930soft"
6252,"-4hard/-5929soft"
6440,"-4hard/-5922soft"
6567,"-4hard/-5921soft"
6607,"-4hard/-5919soft"
6648,"-4hard/-5918soft"
6692,"-3hard/-5928soft"
7119,"-3hard/-5925soft"
7256,"-3hard/-5917soft"
7301,"-3hard/-5910soft"
7346,"-3hard/-5909soft"
7388,"-3hard/-5908soft"
7429,"-3hard/-5906soft"
7518,"-3hard/-5790soft"
7611,"-2hard/-6110soft"
7658,"0hard/-6115soft"
9179,"0hard/-6114soft"
9225,"0hard/-6111soft"
9266,"0hard/-6109soft"
9443,"0hard/-6108soft"
9606,"0hard/-6102soft"
9646,"0hard/-6100soft"
