"timeMillisSpent","score"
88,"-20hard/-6026soft"
128,"-19hard/-6348soft"
166,"-18hard/-6465soft"
209,"-18hard/-6461soft"
257,"-15hard/-6459soft"
303,"-15hard/-6138soft"
348,"-15hard/-6135soft"
391,"-15hard/-6129soft"
436,"-15hard/-6125soft"
535,"-14hard/-6463soft"
582,"-14hard/-6462soft"
632,"-13hard/-6457soft"
677,"-13hard/-6441soft"
814,"-13hard/-6124soft"
862,"-13hard/-6119soft"
906,"-13hard/-6118soft"
950,"-12hard/-6119soft"
994,"-12hard/-6118soft"
1038,"-12hard/-6108soft"
1559,"-10hard/-6414soft"
1603,"-8hard/-6406soft"
1649,"-7hard/-6415soft"
1743,"-7hard/-6398soft"
1791,"-7hard/-6396soft"
1882,"-7hard/-6388soft"
1976,"-7hard/-6080soft"
2030,"-7hard/-6071soft"
2081,"-7hard/-6058soft"
2130,"-7hard/-6053soft"
2178,"-7hard/-6051soft"
2617,"-7hard/-6050soft"
2665,"-7hard/-6042soft"
2711,"-7hard/-6040soft"
2758,"-7hard/-6038soft"
3323,"-7hard/-6028soft"
3378,"-7hard/-6018soft"
3644,"-7hard/-6013soft"
3696,"-7hard/-6008soft"
3791,"-6hard/-6337soft"
3886,"-6hard/-6326soft"
4031,"-5hard/-6319soft"
4083,"-5hard/-6004soft"
4132,"-5hard/-6003soft"
4421,"-5hard/-6001soft"
5540,"-5hard/-5999soft"
5586,"-5hard/-5995soft"
6464,"-4hard/-6034soft"
6512,"-4hard/-6032soft"
6559,"-4hard/-6031soft"
6605,"-4hard/-6030soft"
6653,"-4hard/-6029soft"
6701,"-4hard/-6025soft"
7542,"-3hard/-6386soft"
7588,"-3hard/-6380soft"
7634,"-3hard/-6379soft"
7680,"-3hard/-6374soft"
7727,"-3hard/-6372soft"
7776,"-3hard/-6370soft"
7867,"-3hard/-6356soft"
8159,"-3hard/-6343soft"
8209,"-3hard/-6342soft"
8262,"-3hard/-6338soft"
8579,"-3hard/-6035soft"
8637,"-3hard/-6032soft"
8700,"-3hard/-6030soft"
8753,"-3hard/-6027soft"
8844,"-3hard/-6026soft"
8889,"-3hard/-6025soft"
9077,"-2hard/-6028soft"
9127,"-2hard/-6027soft"
9181,"-2hard/-6025soft"
9235,"-2hard/-6023soft"
9768,"-2hard/-6019soft"
9817,"-2hard/-6018soft"
9868,"-2hard/-6017soft"
9965,"-2hard/-6015soft"
