"timeMillisSpent","score"
356,"-48hard/-10736soft"
467,"-48hard/-10733soft"
556,"-46hard/-11038soft"
567,"-46hard/-11034soft"
592,"-45hard/-11042soft"
1223,"-44hard/-11674soft"
1389,"-42hard/-11668soft"
2290,"-41hard/-11676soft"
2296,"-40hard/-11672soft"
2691,"-40hard/-11208soft"
2732,"-37hard/-11225soft"
3111,"-37hard/-11222soft"
3119,"-36hard/-11230soft"
3146,"-36hard/-11228soft"
3181,"-35hard/-11216soft"
3185,"-34hard/-11212soft"
4823,"-33hard/-11465soft"
4836,"-29hard/-11765soft"
4849,"-29hard/-11461soft"
4899,"-28hard/-11480soft"
5795,"-25hard/-11787soft"
6591,"-23hard/-11396soft"
6598,"-23hard/-11394soft"
6613,"-22hard/-11419soft"
6631,"-22hard/-11413soft"
6638,"-21hard/-11412soft"
6644,"-21hard/-11410soft"
6657,"-21hard/-11395soft"
6671,"-21hard/-11391soft"
6698,"-21hard/-11389soft"
6712,"-21hard/-11381soft"
6720,"-20hard/-11371soft"
6761,"-19hard/-11378soft"
7714,"-17hard/-11518soft"
7721,"-17hard/-11501soft"
7730,"-17hard/-11493soft"
8061,"-17hard/-11489soft"
8079,"-17hard/-11488soft"
8144,"-17hard/-11487soft"
8176,"-17hard/-11473soft"
8201,"-16hard/-11470soft"
8228,"-15hard/-11474soft"
8252,"-15hard/-11471soft"
8264,"-15hard/-11465soft"
8277,"-15hard/-11461soft"
9039,"-14hard/-12109soft"
9046,"-13hard/-12117soft"
9085,"-13hard/-12116soft"
9616,"-13hard/-11748soft"
9687,"-11hard/-12071soft"
9737,"-9hard/-12084soft"
9748,"-9hard/-12082soft"
9756,"-8hard/-12387soft"
9949,"-8hard/-12378soft"
9962,"-8hard/-12377soft"
